OTU;Domain;Phylum;Class;Order;Family;Genus;Species;unique;;;;Phylum;Class;Order;Family;Genus;Species;;Family;;;Genus;;;Species;
Otu0020;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcaceae;Ruminococcaceae;Otu0020;;;Otu1161;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_F;Ruminococcus_F champanellensis;;Erysipelotrichaceae;1;0.6;Ruminococcaceae;3;;SFEL01 sp004557245;1
Otu0021;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sp959599425;Otu0021;;;Otu1163;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;SK-Y3;1;0.6;CAG-349;2;;Prevotella ruminicola;1
Otu0022;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea_A;Dorea_A longicatena;Otu0022;;;Otu1191;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;Fusicatenibacter saccharivorans;;Syntrophomonadaceae;1;0.6;UMGS1498;2;;Mediterraneibacter;1
Otu0023;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter faecis;Otu0023;;;Otu1206;Bacillota_A;Clostridia;Oscillospirales;Oscillospirales;Oscillospirales;Oscillospirales;;Eggerthellaceae;1;0.6;Fimicola;2;;Avelusimicrobium sp002329395;1
Otu0024;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177;CAG-177 sp003514385;Otu0024;;;Otu1238;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium_F;Eubacterium_F sp000433735;;Rikenellaceae;1;0.6;Enterocloster;2;;Agathobacter rectalis;1
Otu0025;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae;Otu0025;;;Otu1244;Bacillota_A;Clostridia;Christensenellales;Aristaeellaceae;UBA11524;UBA11524 sp000437595;;;;;Coprococcus_A;2;;Ruminococcus_F champanellensis;1
Otu0026;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A faecis;Otu0026;;;Otu1259;Bacillota_I;Bacilli_A;Erysipelotrichales;Erysipelotrichaceae;Faecalicoccus;Faecalicoccus pleomorphus;;;;;Roseburia_D;1;;Fusicatenibacter saccharivorans;1
Otu0027;Bacteria;Bacillota_A;Clostridia;Christensenellales;Aristaeellaceae;UBA11524;UBA11524 sp000437595;Otu0027;;;Otu1260;Bacillota_I;Bacilli_A;RF39;UBA660;UMGS1498;UMGS1498 sp934153945;;;;;SFEL01;1;;Eubacterium_F sp000433735;1
Otu0028;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;Anaerostipes hadrus;Otu0028;;;Otu1266;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;Acetatifactor;;;;;Ruminococcus_F;1;;Faecalicoccus pleomorphus;1
Otu0029;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas sp000435555;Otu0029;;;Otu1288;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;;;;;Fusicatenibacter;1;;Acetatifactor;1
Otu0030;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Oliverpabstia;Oliverpabstia intestinalis;Otu0030;;;Otu1302;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium_G;Eubacterium_G segne;;;;;Faecalicoccus;1;;Mediterraneibacter torques;1
Otu0031;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis;Otu0031;;;Otu1329;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter torques;;;;;Acetatifactor;1;;Ruminococcus_E bromii;1
Otu0032;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium_A;Fusobacterium_A sp900543175;Otu0032;;;Otu1353;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E;Ruminococcus_E bromii;;;;;SK-Y3;1;;SK-Y3;1
Otu0033;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A obeum;Otu0033;;;Otu1450;Bacillota_A;Clostridia;SK-Y3;SK-Y3;SK-Y3;SK-Y3;;;;;CAG-245;1;;CAG-245 sp000435175;1
Otu0034;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia inulinivorans;Otu0034;;;Otu1461;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia_C;Roseburia_C amylophila;;;;;UBA3402;1;;Enterocloster sp000431375;1
Otu0035;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp002265625;Otu0035;;;Otu1473;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Oscillospiraceae;Oscillospiraceae;;;;;Roseburia;1;;UBA3402 sp003478355;1
Otu0036;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Bariatricus;Bariatricus comes;Otu0036;;;Otu1498;Bacillota_A;Clostridia;TANB77;CAG-508;CAG-245;CAG-245 sp000435175;;;;;UMGS1696;1;;Eubacterium_F sp003491505;1
Otu0037;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Hominicoprocola;Hominicoprocola fusiformis;Otu0037;;;Otu1564;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Oscillospiraceae;Oscillospiraceae;;;;;Merdicola;1;;Agathobacter sp900543445;1
Otu0038;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae;Otu0038;;;Otu1587;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;;;;Vescimonas;1;;Roseburia;1
Otu0039;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;Dorea formicigenerans;Otu0039;;;Otu1588;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium_G;Eubacterium_G segne;;;;;V9D3004;1;;UMGS1696 sp900753285;1
Otu0040;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp902362375;Otu0040;;;Otu1616;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster sp000431375;;;;;Aristaeellaceae;1;;Coprococcus_A;1
Otu0041;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Fimenecus;Fimenecus sp000432435;Otu0041;;;Otu1646;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;;;;CAG-272;;;Merdicola sp900552655;1
Otu0042;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;Acetatifactor intestinalis;Otu0042;;;Otu1650;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA3402;UBA3402 sp003478355;;;;;CAG-628;;;Vescimonas fastidiosa;1
Otu0043;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes putredinis;Otu0043;;;Otu1675;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcaceae;Ruminococcaceae;;;;;Butyribacter;;;V9D3004 sp948472945;1
Otu0044;Bacteria;Bacillota_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Romboutsia_E;Romboutsia_E sp900066495;Otu0044;;;Otu1687;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;;;;Butyrivibrio_A;;;Coprococcus_A catus;1
Otu0045;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger;Gemmiger formicilis;Otu0045;;;Otu1785;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;;;;Jutongia;;;Aristaeellaceae;1
Otu0046;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio_A;Butyrivibrio_A crossotus;Otu0046;;;Otu1852;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia_C;Roseburia_C amylophila;;;;;Hominiventricola;;;CAG-272;1
Otu0047;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_D;Otu0047;;;Otu1874;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Oscillospiraceae;Oscillospiraceae;;;;;Wujia;;;Avelusimicrobium sp900541355;1
Otu0048;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Limisoma;Limisoma sp000437795;Otu0048;;;Otu1897;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus;;;;;Hominicoprocola;;;Prevotella ruminicola_A;1
Otu0049;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium_B;Fusobacterium_B sp900541465;Otu0049;;;Otu1901;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium_F;Eubacterium_F sp003491505;;;;;Blautia;;;CAG-628 sp934085635;1
Otu0050;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter torques;Otu0050;;;Otu1909;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter sp900543445;;;;;Clostridium;;;Butyribacter sp003529475;1
Otu0051;Bacteria;Bacillota_I;Bacilli_A;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;Holdemanella sp900556915;Otu0051;;;Otu1924;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;;;;Dialister;;;Butyrivibrio_A sp000431815;1
Otu0052;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Huintestinicola;Huintestinicola butyrica;Otu0052;;;Otu1928;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia;;;;;Acutalibacter;;;Jutongia huaianensis;1
Otu0053;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_I;Otu0053;;;Otu1939;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira;;;;;CAG-390;;;Hominiventricola sp003480725;1
Otu0054;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis;Otu0054;;;Otu1970;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;;;;Faecalibacterium;;;Wujia;1
Otu0055;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae;Otu0055;;;Otu1992;Bacillota_A;Clostridia;Oscillospirales;CAG-272;UMGS1696;UMGS1696 sp900753285;;;;;Faecousia;;;Hominicoprocola sp900317525;1
Otu0056;Bacteria;Bacillota_C;Negativicutes;Veillonellales;Dialisteraceae;Dialister;Dialister hominis;Otu0056;;;Otu1993;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus_A;Coprococcus_A;;;;;Ruminiclostridium_E;;;Blautia stercoris;
Otu0057;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira eligens_A;Otu0057;;;Otu2003;Bacillota_I;Bacilli_A;Erysipelotrichales;Coprobacillaceae;Faecalibacillus;Faecalibacillus intestinalis;;;;;Anaerotruncus;;;Clostridium lentum;
Otu0058;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens;Otu0058;;;Otu2057;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;;;;CAG-170;;;Dialister invisus;
Otu0059;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Paraprevotella;Paraprevotella clara;Otu0059;;;Otu2092;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter;;;;;Anaerotignum;;;Lachnospira hominis;
Otu0060;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Hominimerdicola;Hominimerdicola aceti;Otu0060;;;Otu2135;Bacillota_A;Clostridia;TANB77;CAG-508;Merdicola;Merdicola sp900552655;;;;;F23-B02;;;Acutalibacter;
Otu0061;Bacteria;Bacillota_A;Clostridia;Christensenellales;Aristaeellaceae;Ventricola;Ventricola sp900542395;Otu0061;;;Otu2141;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas fastidiosa;;;;;Petralouisia;;;Enterocloster;
Otu0062;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A intestinalis;Otu0062;;;Otu2142;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;V9D3004;V9D3004 sp948472945;;;;;Syntrophomonas_B;;;CAG-390;
Otu0063;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium_I;Eubacterium_I ramulus;Otu0063;;;Otu2153;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A;;;;;Anaerotardibacter;;;Faecalibacterium;
Otu0064;Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp003466125;Otu0064;;;Otu2169;Bacillota_A;Clostridia;Oscillospirales;Oscillospirales;Oscillospirales;Oscillospirales;;;;;Alitiscatomonas;;;Faecousia sp000434635;
Otu0065;Bacteria;Bacillota_I;Bacilli_A;Erysipelotrichales;Coprobacillaceae;Faecalibacillus;Faecalibacillus faecis;Otu0065;;;Otu2173;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus_A;Coprococcus_A catus;;;;;Onthocola_B;;;Ruminiclostridium_E siraeum;
Otu0066;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes shahii;Otu0066;;;Otu2316;Bacillota_A;Clostridia;Christensenellales;Aristaeellaceae;Aristaeellaceae;Aristaeellaceae;;;;;Clostridia;;;Anaerotruncus massiliensis;
Otu0067;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas coprocola;Otu0067;;;Otu2332;Bacillota_A;Clostridia;Oscillospirales;CAG-272;CAG-272;CAG-272;;;;;Fimivivens;;;Eubacterium_G;
Otu0068;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Otoolea;Otoolea fessa;Otu0068;;;Otu2333;Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Avelusimicrobium;Avelusimicrobium sp900541355;;;;;Alistipes;;;Ruminococcus_E;
Otu0069;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;Otu0069;;;Otu2335;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;;;;Oliverpabstia;;;CAG-170 sp000432135;
Otu0070;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Paraprevotella;Paraprevotella clara;Otu0070;;;Otu2390;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella ruminicola_A;;;;;Schaedlerella;;;Anaerotignum faecicola;
Otu0071;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Anthropogastromicrobium;Anthropogastromicrobium aceti;Otu0071;;;Otu2400;Bacillota_I;Bacilli_A;RF39;UBA660;CAG-628;CAG-628 sp934085635;;;;;CAG-533;;;F23-B02 sp001916715;
Otu0072;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp000434635;Otu0072;;;Otu2401;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Butyribacter;Butyribacter sp003529475;;;;;Gallintestinimicrobium;;;Bacteroides sp900765785;
Otu0073;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia_C;Roseburia_C amylophila;Otu0073;;;Otu2412;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio_A;Butyrivibrio_A sp000431815;;;;;;;;Petralouisia sp001940225;
Otu0074;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis;Otu0074;;;Otu2570;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;;;;;;;Phocaeicola;
Otu0075;Bacteria;Bacillota_A;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium saudiense;Otu0075;;;Otu2645;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus;;;;;;;;Syntrophomonas_B zehnderi;
Otu0076;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Hominenteromicrobium;Hominenteromicrobium mulieris;Otu0076;;;Otu2649;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira;;;;;;;;Faecousia sp003525905;
Otu0077;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia hominis;Otu0077;;;Otu2739;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Jutongia;Jutongia huaianensis;;;;;;;;Anaerotardibacter sp000436075;
Otu0078;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia celeris;Otu0078;;;Otu2751;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Hominiventricola;Hominiventricola sp003480725;;;;;;;;Alitiscatomonas sp900541255;
Otu0079;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Wujia;Wujia chipingensis;Otu0079;;;Otu2847;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Wujia;Wujia;;;;;;;;Onthocola_B sp000438075;
Otu0080;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila_A;Otu0080;;;Otu2992;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;;;;;;;;Clostridia;
Otu0081;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira pectinoschiza_A;Otu0081;;;Otu3126;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;;;;;;;;Fimivivens sp900113995;
Otu0082;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii;Otu0082;;;Otu3174;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;;;;;;;Lachnospira pectinoschiza_A;
Otu0083;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-217;CAG-217 sp000436335;Otu0083;;;Otu3192;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A;;;;;;;;Phocaeicola massiliensis;
Otu0084;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Hominicoprocola;Hominicoprocola sp900317525;Otu0084;;;Otu3203;Bacillota_A;Clostridia;Christensenellales;Aristaeellaceae;UBA11524;UBA11524 sp000437595;;;;;;;;Eubacterium_F;
Otu0085;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella timonensis;Otu0085;;;Otu3224;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;;;;;;;;Faecousia sp000435995;
Otu0086;Bacteria;Bacillota_C;Negativicutes;Veillonellales;Megasphaeraceae;Megasphaera;Megasphaera elsdenii;Otu0086;;;Otu3321;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Hominicoprocola;Hominicoprocola sp900317525;;;;;;;;Alistipes putredinis;
Otu0087;Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus thermophilus;Otu0087;;;Otu3340;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;;;;;;;Mediterraneibacter sp934309345;
Otu0088;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Gallintestinimicrobium;Gallintestinimicrobium propionicum;Otu0088;;;Otu3390;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;;;;;;;Oliverpabstia faecicola;
